"country","exp_environment","exp_total","exp_consumption","exp_housing","exp_health","exp_recreation","exp_education","socialSupport_health","revenues","state_tax_total","social_protection","population"
"United States",0,38.18333333,14.19121615,0.543333333,8.873333333,0.253333333,6.18,14.049,33.39,0.164975,7.936666667,322987045.3
"Canada",0,40.54333333,20.90216938,0.543333333,8.873333333,0.253333333,6.18,7.28,39.31333333,0.164975,7.936666667,36117554.33
"Mexico",0,24.50333333,12.02838383,0.543333333,8.873333333,0.253333333,6.18,3.003,24.07333333,0.164975,7.936666667,123322986
"Chile",0,24.50333333,13.59616693,0.543333333,8.873333333,0.253333333,6.18,4.876,24.07333333,0.164975,7.936666667,18216286.67
"United Kingdom",0.793333333,43.75666667,18.67775159,0.466666667,7.55,0.68,5.286666667,7.717,38.56333333,0.163,16.63,65594428.33
"Ireland",0.52,35.74666667,12.21805748,0.703333333,7.026666667,0.72,4.493333333,5.301,31.95,0.124,11.94666667,4754893.333
"Netherlands",1.48,45.93,24.63565355,0.436666667,8.116666667,1.463333333,5.41,8.424,43.69,0.446,16.81333333,17033844.33
"Belgium",1.003333333,54.93666667,23.46241214,0.373333333,7.92,1.25,6.386666667,7.923,52.04,0.392,20.06666667,11326925.33
"Luxembourg",1.076666667,42.11,16.84272905,0.53,4.746666667,1.22,5.22,5.098,43.36,0.101,18.63666667,582651.3333
"France",1.02,57.11,23.74158326,1.183333333,8.14,1.396666667,5.49,8.808,53.24333333,0.14,24.56,66772759.33
"Switzerland",0.706666667,33.94,11.96735191,0.193333333,2.2,0.826666667,5.826666667,7.536,34.03,0.14,13.43,8369191.333
"Spain",0.86,44.74666667,18.89969933,0.48,6.16,1.143333333,4.096666667,6.501,38.7,0.162,17.59666667,46507212.33
"Portugal",0.413333333,50.01,17.82202814,0.556666667,6.246666667,0.8,6.11,5.936,44.55333333,0.088,18.74666667,10327942.67
"Tanzania",0.613333333,44.36333333,19.4130079,0.393333333,7.12,1.023333333,4.24,8.892,44.62666667,0.223,18.87333333,82230760.67
"Poland",0.616666667,42.13666667,17.87130833,0.723333333,4.643333333,1.16,5.246666667,8.892,38.74666667,0.161,16.06666667,37977108.33
"Austria",0.476666667,51.88333333,19.68124136,0.36,7.896666667,1.24,4.99,6.515,50.15666667,0.182,21.54333333,8725644.333
"Hungary",1.103333333,49.46333333,20.10177331,0.93,5.07,1.983333333,4.946666667,4.761,47.4,0.116,15.63,9815005.667
"Czech Republic",1.05,42.30666667,19.2236948,0.783333333,7.623333333,1.356666667,5.05,5.966,41.03333333,0.172,13.09,10568943
"Slovak Republic",0.89,43.00666667,19.39018327,0.686666667,7.016666667,0.953333333,4.103333333,5.475,40.28333333,0.15,15.06333333,5431277
"Italy",0.956666667,50.79666667,18.77462317,0.646666667,7.146666667,0.74,4.03,6.702,47.92,0.136,21.23666667,60631596.33
"Croatia",0.956666667,50.79666667,18.77462317,0.646666667,7.146666667,0.74,4.03,6.702,47.92,0.136,21.23666667,4050000
"Slovenia",0.916666667,52.83666667,18.51945343,0.746666667,6.716666667,1.69,6.05,6.082,45.03666667,0.174,18.02666667,2064987
"Greece",1.556666667,55.69333333,20.05414718,0.27,4.8,0.68,4.423333333,4.776,48.11,0.104,20.05333333,10783844.33
"Cyprus",1.556666667,55.69333333,20.05414718,0.27,4.8,0.68,4.423333333,4.776,48.11,0.104,20.05333333,1210000
"Bulgaria",1.556666667,55.69333333,20.05414718,0.27,4.8,0.68,4.423333333,4.776,48.11,0.104,20.05333333,6930000
"Romania",1.556666667,55.69333333,20.05414718,0.27,4.8,0.68,4.423333333,4.776,48.11,0.104,20.05333333,19050000
"Russia",1.556666667,55.69333333,20.05414718,0.27,4.8,0.68,4.423333333,4.776,48.11,0.104,20.05333333,145930000
"Estonia",0.643333333,39.11333333,20.05136187,0.44,5.226666667,2,5.933333333,4.837,39.32,0.165,12.27,1316193.667
"Latvia",0.643333333,39.11333333,20.05136187,0.44,5.226666667,2,5.933333333,4.837,39.32,0.197,12.27,1870000
"Lithuania",0.643333333,39.11333333,20.05136187,0.44,5.226666667,2,5.933333333,4.837,39.32,0.294,12.27,2800000
"Finland",0.25,57.51333333,23.73567784,0.403333333,7.923333333,1.473333333,6.346666667,5.736,54.67666667,0.115,25.26666667,5494349.333
"Sweden",0.31,51.35666667,26.09706302,0.75,6.983333333,1.116666667,6.563333333,6.286,50.48,0.149,21.26,9926656.333
"Norway",0.836666667,46.23333333,23.95721859,0.69,7.91,1.426666667,5.166666667,6.422,54.75,0.149,18.39333333,5233364.667
"Denmark",0.46,55.32333333,25.00676686,0.253333333,8.55,1.773333333,7.02,6.672,55.01666667,0.164,24.04666667,5725491
"South Africa",0.46,55.32333333,25.00676686,0.253333333,8.55,1.773333333,7.02,6.672,55.01666667,0.164,24.04666667,59310000
"Turkey",0.46,33.76333333,14.40479292,0.253333333,8.55,1.773333333,7.02,3.234,34.35333333,0.164,24.04666667,79817675
"Israel",0.54,40.43333333,22.42415532,0.13,5.116666667,1.4,6.82,4.625,37.35,0.164,10.74333333,8546466.667
"China",0.54,40.43333333,22.42415532,0.13,5.116666667,1.4,6.82,4.625,37.35,0.164,10.74333333,1439323776
"Korea South",0.77,32.04,15.17349032,0.895,3.93,0.69,5.195,4.152,33.38,0.164,6.035,51242285
"Japan",1.153333333,40.11666667,19.79121852,0.723333333,7.683333333,0.366666667,3.536666667,7.713,34.6,0.164,16.32333333,126973769.3
"India",1.153333333,40.11666667,19.79121852,0.723333333,7.683333333,0.366666667,3.536666667,7.713,34.6,0.164,16.32333333,1380004385
"Indonesia",1.153333333,40.11666667,19.79121852,0.723333333,7.683333333,0.366666667,3.536666667,7.713,34.6,0.164,16.32333333,273523615
"Australia",0.916666667,36.76333333,18.43551632,0.593333333,6.84,0.72,5.223333333,6.36,33.93666667,0.164,10.08666667,24202920.67
"New Zealand",0.916666667,39.88666667,18.17281012,0.593333333,6.84,0.72,5.223333333,7.305,39.79666667,0.164,10.08666667,4694266.667
